French,English
partie,part
histoire,history
seulement,only
police,police
demande,request
mois,month
frère,brother
laisser,let
car,because
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
première,first
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
compte,account
donne,given
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
